Time [s],Channel 5,Channel 7
7.896183625,0,1
7.896265250,1,1
7.898269000,0,1
7.898350625,1,1
7.900354250,0,1
7.900435875,1,1
7.902439500,0,1
7.902521125,1,1
7.904524625,0,1
7.904606375,1,1
7.906609875,1,0
7.906691625,1,1
7.908695000,0,1
7.908776625,1,1
7.910780250,1,0
7.910861875,1,1
7.912865250,1,0
7.912947000,1,1
7.914950375,1,0
7.915032000,1,1
7.917035500,1,0
7.917117125,1,1
7.919120500,1,0
7.919202250,1,1
7.921205625,0,1
7.921287250,1,1
7.923291000,1,0
7.923372625,1,1
7.925376000,0,1
7.925457750,1,1
7.927461500,0,1
7.927543125,1,1
7.929546875,0,1
7.929628500,1,1
7.931632250,0,1
7.931714000,1,1
7.933717625,0,1
7.933799250,1,1
7.935802750,0,1
7.935884500,1,1
7.937888125,1,0
7.937969875,1,1
7.939973125,0,1
7.940054750,1,1
7.942058500,1,0
7.942140125,1,1
7.944143375,1,0
7.944225000,1,1
9.493955625,0,1
9.494037375,1,1
9.496041000,1,0
9.496122625,1,1
9.498126125,0,1
9.498207750,1,1
9.500211375,0,1
9.500293125,1,1
9.502296875,1,0
9.502378500,1,1
9.504382000,0,1
9.504463625,1,1
9.506467250,1,0
9.506549000,1,1
9.508552250,0,1
9.508634000,1,1
9.510637500,1,0
9.510719125,1,1
9.512722500,1,0
9.512804250,1,1
9.514807625,0,1
9.514889375,1,1
9.516893125,0,1
9.516974625,1,1
9.518978500,0,1
9.519060125,1,1
9.521063750,0,1
9.521145500,1,1
9.523149125,0,1
9.523230750,1,1
9.525234500,1,0
9.525316250,1,1
9.527319750,0,1
9.527401375,1,1
9.529405000,1,0
9.529486625,1,1
9.531489875,1,0
9.531571625,1,1
9.533575000,1,0
9.533656625,1,1
9.535659875,1,0
9.535741625,1,1
9.537744875,1,0
9.537826625,1,1
9.539830000,0,1
9.539911750,1,1
9.541915375,1,0
9.541997000,1,1
9.544000625,0,1
9.544082250,1,1
9.546086125,0,1
9.546167750,1,1
9.548171750,0,1
9.548253500,1,1
9.550257375,0,1
9.550339125,1,1
9.552343000,0,1
9.552424625,1,1
9.554428500,0,1
9.554510250,1,1
9.556514125,1,0
9.556595750,1,1
9.558599625,0,1
9.558681250,1,1
9.560685250,1,0
9.560766875,1,1
9.562770500,1,0
9.562852125,1,1
11.937993000,0,1
11.938074625,1,1
11.940078125,1,0
11.940159750,1,1
11.942163000,0,1
11.942244625,1,1
11.944248000,0,1
11.944329750,1,1
11.946333125,1,0
11.946414750,1,1
11.948418000,0,1
11.948499625,1,1
11.950503125,1,0
11.950584750,1,1
11.952587875,0,1
11.952669625,1,1
11.954673125,1,0
11.954754750,1,1
11.956758125,1,0
11.956839750,1,1
11.958843125,0,1
11.958924750,1,1
11.960928375,0,1
11.961010000,1,1
11.963013500,0,1
11.963095250,1,1
11.965098750,0,1
11.965180375,1,1
11.967183875,0,1
11.967265500,1,1
11.969269000,1,0
11.969350625,1,1
11.971354000,0,1
11.971435625,1,1
11.973439250,1,0
11.973520875,1,1
11.975524125,1,0
11.975605750,1,1
11.977609000,1,0
11.977690625,1,1
11.979694000,1,0
11.979775750,1,1
11.981779125,1,0
11.981860750,1,1
11.983864250,0,1
11.983946000,1,1
11.985949500,1,0
11.986031125,1,1
11.988034625,0,1
11.988116250,1,1
11.990120125,0,1
11.990201750,1,1
11.992205500,0,1
11.992287125,1,1
11.994290875,0,1
11.994372500,1,1
11.996376250,0,1
11.996458000,1,1
11.998461625,0,1
11.998543250,1,1
12.000546875,1,0
12.000628500,1,1
12.002631875,0,1
12.002713500,1,1
12.004717250,1,0
12.004798875,1,1
12.006802000,1,0
12.006883625,1,1
13.600576500,1,0
13.600658125,1,1
13.602661625,1,0
13.602743375,1,1
13.604746750,1,0
13.604828375,1,1
13.606831625,1,0
13.606913250,1,1
13.608916500,0,1
13.608998250,1,1
13.611001750,1,0
13.611083375,1,1
13.613086875,1,0
13.613168500,1,1
13.615171625,1,0
13.615253250,1,1
13.617256625,0,1
13.617338250,1,1
13.619341750,0,1
13.619423375,1,1
13.621426875,1,0
13.621508500,1,1
13.623511875,0,1
13.623593375,1,1
13.625597000,1,0
13.625678625,1,1
13.627681750,0,1
13.627763500,1,1
13.629767000,1,0
13.629848625,1,1
13.631851875,0,1
13.631933500,1,1
13.633937125,0,1
13.634018875,1,1
13.636022625,0,1
13.636104250,1,1
13.638107875,1,0
13.638189625,1,1
13.640192875,1,0
13.640274500,1,1
13.642278000,1,0
13.642359625,1,1
13.644363000,0,1
13.644444625,1,1
13.646448000,1,0
13.646529750,1,1
13.648532875,0,1
13.648614375,1,1
13.650617875,0,1
13.650699500,1,1
13.652703125,0,1
13.652784750,1,1
13.654788250,0,1
13.654869875,1,1
13.656873375,0,1
13.656955125,1,1
13.658958625,0,1
13.659040250,1,1
13.661043625,0,1
13.661125250,1,1
13.663128625,1,0
13.663210250,1,1
13.665213375,1,0
13.665295000,1,1
13.667298125,0,1
13.667379750,1,1
13.669382875,1,0
13.669464500,1,1
14.982053000,1,0
14.982134625,1,1
14.984138125,1,0
14.984219875,1,1
14.986223250,1,0
14.986305000,1,1
14.988308375,1,0
14.988390000,1,1
14.990393375,0,1
14.990475125,1,1
14.992478750,1,0
14.992560375,1,1
14.994563750,1,0
14.994645375,1,1
14.996648750,1,0
14.996730500,1,1
14.998733750,0,1
14.998815375,1,1
15.000818875,0,1
15.000900500,1,1
15.002904000,1,0
15.002985625,1,1
15.004989125,0,1
15.005070625,1,1
15.007074125,1,0
15.007155750,1,1
15.009159000,0,1
15.009240625,1,1
15.011244000,1,0
15.011325625,1,1
15.013328625,0,1
15.013410375,1,1
15.015414000,0,1
15.015495750,1,1
15.017499375,0,1
15.017581000,1,1
15.019584750,1,0
15.019666500,1,1
15.021670000,1,0
15.021751750,1,1
15.023755125,1,0
15.023836750,1,1
15.025840250,0,1
15.025921875,1,1
15.027925750,1,0
15.028007500,1,1
15.030011125,0,1
15.030092750,1,1
15.032096625,0,1
15.032178250,1,1
15.034182000,0,1
15.034263625,1,1
15.036267500,0,1
15.036349250,1,1
15.038353125,0,1
15.038434750,1,1
15.040438625,0,1
15.040520375,1,1
15.042524125,0,1
15.042605750,1,1
15.044609625,1,0
15.044691375,1,1
15.046694875,1,0
15.046776500,1,1
15.048780250,0,1
15.048861875,1,1
15.050865500,1,0
15.050947250,1,1
16.441728625,1,0
16.441810250,1,1
16.443814125,1,0
16.443895750,1,1
16.445899375,1,0
16.445981125,1,1
16.447984625,1,0
16.448066250,1,1
16.450070000,0,1
16.450151625,1,1
16.452155500,1,0
16.452237250,1,1
16.454240875,1,0
16.454322500,1,1
16.456326250,1,0
16.456407875,1,1
16.458411625,0,1
16.458493375,1,1
16.460497375,0,1
16.460579125,1,1
16.462583125,1,0
16.462664750,1,1
16.464668750,0,1
16.464750250,1,1
16.466754375,1,0
16.466836125,1,1
16.468840000,0,1
16.468921625,1,1
16.470925625,1,0
16.471007375,1,1
16.473011125,0,1
16.473092875,1,1
16.475096875,0,1
16.475178500,1,1
16.477182625,0,1
16.477264375,1,1
16.479268625,1,0
16.479350250,1,1
16.481354000,1,0
16.481435625,1,1
16.483439500,1,0
16.483521125,1,1
16.485525000,0,1
16.485606750,1,1
16.487610625,1,0
16.487692250,1,1
16.489696000,0,1
16.489777625,1,1
16.491781500,0,1
16.491863125,1,1
16.493867125,0,1
16.493948875,1,1
16.495953000,0,1
16.496034625,1,1
16.498038625,0,1
16.498120250,1,1
16.500124250,0,1
16.500206000,1,1
16.502210125,0,1
16.502291750,1,1
16.504295875,1,0
16.504377500,1,1
16.506381250,1,0
16.506463000,1,1
16.508466750,0,1
16.508548375,1,1
16.510552375,1,0
16.510634000,1,1
18.598912000,1,1
